Name,Всего проектов,Дата рождения,Дата смерти,Знак зодиака,Карьера,Место рождения,Место смерти,Рост,Сыгранные/озвученные персонажи,Фильмография
Брюс Райтерман,20,15/09/1955,,Дева,"Актёр, Войс-актер, Оператор, Продюсер, Режиссёр","Бербанк, Калифорния, США",-,1.71,Маугли (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9C%D0%B0%D1%83%D0%B3%D0%BB%D0%B8%20296c10ae8c7580c7a927f8d56bb6e77b.md),"Книга джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75800eb797f1a58a420a3e.md), Приключения Винни-Пуха (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%92%D0%B8%D0%BD%D0%BD%D0%B8-%D0%9F%D1%83%D1%85%D0%B0%20294c10ae8c758053b236f10bbff20940.md)"
Фил Харрис,60,24/06/1904,11/08/1995,Рыбы,"Актёр, Войс-актер, Комик, Музыкант, Певец","Линтон, Индиана, США","Ранчо-Мираж, Калифорния, США",1.8,Балу (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%91%D0%B0%D0%BB%D1%83%20296c10ae8c75808c805ce4be744922be.md),"Книга джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75800eb797f1a58a420a3e.md)"
Себастьян Кэбот,100,06/07/1918,22/08/1977,Рак,"Актёр, Войс-актер","Лондон, Англия","Норт-Сонич, Британская Колумбия, Канада",1.75,Багира (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%91%D0%B0%D0%B3%D0%B8%D1%80%D0%B0%20296c10ae8c7580faae5cc32faf56e316.md),"Книга джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75800eb797f1a58a420a3e.md), Приключения Винни-Пуха (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%92%D0%B8%D0%BD%D0%BD%D0%B8-%D0%9F%D1%83%D1%85%D0%B0%20294c10ae8c758053b236f10bbff20940.md)"
Джордж Сандерс,120,03/07/1906,25/04/1972,Рак,"Актёр, Войс-актер, Певец","Санкт-Петербург, Российская империя","Кастельдефельс, Испания",1.83,Шер-Хан (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A8%D0%B5%D1%80-%D0%A5%D0%B0%D0%BD%20296c10ae8c7580a68fedd504b77f0275.md),"Книга джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75800eb797f1a58a420a3e.md)"
Айлин Вудс,15,05/05/1929,01/07/2010,Телец,"Актриса, Войс-актриса, Певица","Портсмут, Нью-Гэмпшир, США","Канога-Парк, Калифорния, США",1.63,Золушка (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%97%D0%BE%D0%BB%D1%83%D1%88%D0%BA%D0%B0%20296c10ae8c758016b792ec427f7a36c6.md),"Золушка (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%97%D0%BE%D0%BB%D1%83%D1%88%D0%BA%D0%B0%20296c10ae8c7580d48560dc17aad7ce22.md)"
Барбара Ладди,30,25/05/1908,01/04/1979,Близнецы,"Актриса, Войс-актриса","Грейт-Фолс, Монтана, США","Лос-Анджелес, Калифорния, США",1.57,Леди (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9B%D0%B5%D0%B4%D0%B8%20296c10ae8c7580c481b1c08a410caf05.md),"Леди и бродяга (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9B%D0%B5%D0%B4%D0%B8%20%D0%B8%20%D0%B1%D1%80%D0%BE%D0%B4%D1%8F%D0%B3%D0%B0%20294c10ae8c7580db9d71de307ecfb2a5.md), Приключения Винни-Пуха (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%92%D0%B8%D0%BD%D0%BD%D0%B8-%D0%9F%D1%83%D1%85%D0%B0%20294c10ae8c758053b236f10bbff20940.md), Спящая красавица (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A1%D0%BF%D1%8F%D1%89%D0%B0%D1%8F%20%D0%BA%D1%80%D0%B0%D1%81%D0%B0%D0%B2%D0%B8%D1%86%D0%B0%20294c10ae8c7580b5a973f3461d1e41e3.md)"
Ларри Робертс,10,28/09/1926,17/07/1992,Весы,"Актёр, Войс-актер","Кливленд, Огайо, США","Лос-Анджелес, Калифорния, США",1.71,Бродяга (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%91%D1%80%D0%BE%D0%B4%D1%8F%D0%B3%D0%B0%20296c10ae8c7580e186b6d01f1e23dab9.md),"Леди и бродяга (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9B%D0%B5%D0%B4%D0%B8%20%D0%B8%20%D0%B1%D1%80%D0%BE%D0%B4%D1%8F%D0%B3%D0%B0%20294c10ae8c7580db9d71de307ecfb2a5.md)"
Стерлинг Холлоуэй,200,14/01/1905,22/11/1992,Козерог,"Актёр, Войс-актер","Сидар-Сити, Юта, США","Лос-Анджелес, Калифорния, США",1.77,Винни-Пух (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%92%D0%B8%D0%BD%D0%BD%D0%B8-%D0%9F%D1%83%D1%85%20296c10ae8c75807fa419dcb7cb4529d7.md),"Приключения Винни-Пуха (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%92%D0%B8%D0%BD%D0%BD%D0%B8-%D0%9F%D1%83%D1%85%D0%B0%20294c10ae8c758053b236f10bbff20940.md), Книга джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75800eb797f1a58a420a3e.md), Дамбо (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%94%D0%B0%D0%BC%D0%B1%D0%BE%20294c10ae8c7580aeb4dbef5ba0a08d2b.md)"
"Джон Фидлер ",200,03/02/1925,25/06/2005,Водолей,"Актёр, Войс-актер","Платвилл, Висконсин, США","Энглвуд, Нью-Джерси, США",1.69,Пятачок (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9F%D1%8F%D1%82%D0%B0%D1%87%D0%BE%D0%BA%20296c10ae8c75806f82bbc24ee2a958b3.md),"Приключения Винни-Пуха (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%92%D0%B8%D0%BD%D0%BD%D0%B8-%D0%9F%D1%83%D1%85%D0%B0%20294c10ae8c758053b236f10bbff20940.md)"
Ральф Райт,40,17/05/1908,31/12/1983,Телец,"Актёр, Войс-актер, Сценарист","Грантс-Пасс, Орегон, США","Лос-Анджелес, Калифорния, США",1.7,Иа-Иа (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%98%D0%B0-%D0%98%D0%B0%20296c10ae8c7580c3bc21e3490d26393c.md),"Приключения Винни-Пуха (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%92%D0%B8%D0%BD%D0%BD%D0%B8-%D0%9F%D1%83%D1%85%D0%B0%20294c10ae8c758053b236f10bbff20940.md)"
Пол Уинчелл,90,21/12/1922,24/06/2005,Стрелец,"Актёр, Войс-актер, Изобретатель","Нью-Йорк, США","Мурпарк, Калифорния, США",1.88,Тигра (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A2%D0%B8%D0%B3%D1%80%D0%B0%20296c10ae8c75801fafa5cbfe480ed188.md),"Приключения Винни-Пуха (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%92%D0%B8%D0%BD%D0%BD%D0%B8-%D0%9F%D1%83%D1%85%D0%B0%20294c10ae8c758053b236f10bbff20940.md)"
Эдвард Брофи,130,27/02/1895,27/05/1960,Рыбы,"Актёр, Войс-актер","Нью-Йорк, США","Пасифик-Палисейдс, Калифорния, США",1.69,Тимоти (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A2%D0%B8%D0%BC%D0%BE%D1%82%D0%B8%20296c10ae8c7580c1b1edc606f91a85f4.md),"Дамбо (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%94%D0%B0%D0%BC%D0%B1%D0%BE%20294c10ae8c7580aeb4dbef5ba0a08d2b.md)"
Билл Тайтла,30,17/10/1904,29/12/1968,Весы,"Войс-актер, Режиссёр, Художник-аниматор","Йонкерс, Нью-Йорк, США","Ист-Лайм, Коннектикут, США",1.71,Дамбо (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%94%D0%B0%D0%BC%D0%B1%D0%BE%20296c10ae8c7580c1a070db906b91da6c.md),"Дамбо (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%94%D0%B0%D0%BC%D0%B1%D0%BE%20294c10ae8c7580aeb4dbef5ba0a08d2b.md), Белоснежка и семь гномов (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%91%D0%B5%D0%BB%D0%BE%D1%81%D0%BD%D0%B5%D0%B6%D0%BA%D0%B0%20%D0%B8%20%D1%81%D0%B5%D0%BC%D1%8C%20%D0%B3%D0%BD%D0%BE%D0%BC%D0%BE%D0%B2%20294c10ae8c7580e9a813f0ec0648a627.md), Пиноккио (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D0%B8%D0%BD%D0%BE%D0%BA%D0%BA%D0%B8%D0%BE%20294c10ae8c758015a2f4fab2ee472c14.md)"
